alumni alumnus 
analyses analysis 
antennae antenna 
antennas antenna 
appendices appendix 
arisen arise 
arose arise 
ate eat 
awoke awake 
awoken awake 
axes axis 
bacteria bacterium 
bases basis 
beat beat 
beaten beat 
beaux beau 
became become 
become become 
been be 
began begin 
begun begin 
bent bend 
bet bet 
bit bite 
bitten bite 
bled bleed 
blew blow 
blown blow 
born bear 
bought buy 
bound bind 
bred breed 
broadcast broadcast 
broke break 
broken break 
brought bring 
built build 
bureaus bureau 
bureaux bureau 
burned burn 
burnt burn 
burst burst 
cacti cactus 
came come 
caught catch 
children child 
chose choose 
chosen choose 
clung cling 
come come 
corpora corpus 
cost cost 
could can 
crept creep 
crises crisis 
criteria criterion 
curricula curriculum 
cut cut 
data datum 
dealt deal 
deer deer 
diagnoses diagnosis 
did do 
done do 
drank drink 
drawn draw 
dreamed dream 
dreamt dream 
drew draw 
driven drive 
drove drive 
drunk drink 
dug dig 
eaten eat 
ellipses ellipsis 
fallen fall 
fed feed 
feet foot 
fell fall 
felt feel 
fish fish 
flew fly 
flown fly 
focifocus 
focuses focus 
forbade forbid 
forbidden forbid 
forgave forgive 
forgiven forgive 
forgot forget 
forgotten forget 
formulae formula 
formulas formula 
fought fight 
found find 
froze freeze 
frozen freeze 
fungi fungus 
funguses fungus 
gave give 
geese goose 
genera genus 
given give 
gone go 
got get 
grew grow 
ground grind 
grown grow 
had have 
has have 
heard hear 
held hold 
hid hide 
hidden hide 
hit hit 
hung hang 
hurt hurt 
hypotheses hypothesis 
indeces index 
indexes index 
is be
kept keep 
knelt kneel 
knew know 
known know 
laid lay 
lain lie 
lay lie 
leaned lean 
leant lean 
learned learn 
learnt learn 
led lead 
left leave 
lent lent 
lice louse 
lied lie 
lighted light 
lit light 
lost lose 
made make 
matrices matrix 
matrixes matrix 
means means 
meant mean 
media medium 
memoranda memorandum 
men man 
met meet 
mice mouse 
might may 
mowed mow 
mown mow 
nebulae nebula 
nuclei nucleus 
oases oasis 
offspring offspring 
overtaken overtake 
overtook overtake 
oxen ox 
paid pay 
paralyses paralysis 
parentheses parenthesis 
phenomena phenomenon 
put put 
radii radius 
ran run 
rang ring 
read read 
ridden ride 
risen rise 
rode ride 
rose rise 
run run 
rung ring 
said say 
sang sing 
sank sink 
sat sit 
saw see 
sawed saw 
sawn saw 
seen see 
sent send 
series series 
set set 
sewed sew 
sewn sew 
shaken shake 
shed shed 
sheep sheep 
shone shine 
shook shake 
shot shoot 
should shall 
showed show 
shown show 
shrank shrink 
shrunk shrink 
shut shut 
slept sleep 
slid slide 
smelt smell 
sold sell 
sowed sow 
sowed sowed sow 
sown sow 
spat spit 
species species 
spelled spell 
spelt spell 
spent spend 
spilled spill 
spilt spill 
spoke speak 
spoken speak 
spread spread 
stank stink 
stimuli stimulus 
stole steal 
stolen steal 
stood stand 
strata stratum 
struck strike 
stuck stick 
stung sting 
stunk stink 
sung sing 
sunk sink 
swam swim 
swelled swell 
swept sweep 
swollen swell 
swore swear 
sworn swear 
swum swim 
swung swing 
synopses synopsis 
syntheses synthesis 
tableaus tableau 
tableaux tableau 
taken take 
taught teach 
teeth tooth 
theses thesis 
thought think 
threw throw 
thrown throw 
told tell 
took take 
tore tear 
torn tear 
understood understand 
vertebrae vertebra 
vitae vita 
was be 
went go 
wept weep 
were be 
woke wake 
woken wake 
women woman 
won win 
wore wear 
worn wear 
would will 
wound wind 
written write 
wrote write 
